весь: всего
глава: главе
изучить: изучить
использование: использование
каждый: каждое
лицо: лице
менеджер: менеджера
много: много
мы: мы
написание: написание
начало: Начало
начать: Начнём
начинаться: начинается
наш: наше
нужный: Нужно
обсудить: обсудим
один: одном
пакет: пакетов
печатать: печатающей
программа: программы
путешествие: путешествие
работа: работы
сборка: сборки
система: системы
установка: установку
что: чего
этот: этой
